,text,Unnamed: 0
395,I liked a laptop with comparable capacities and good looks at a shallower pricing.,
396,i ordered a terminal that would handle the smaller data processing jobs before shifting to some larger laptop computer.,
397,turing wanted a program that could handle significantly smaller data processing constraints between transferring to a small super computer.,
398,i wanted a laptop that did handle the enormous cpu processing expenses of switching to a larger super computer.,
399,i wanted a chip that couldn handle two smaller currency exchange jobs before transferring to a larger super machine.,
400,1 wanted a laptop that could care the smaller data processing jobs before remove to a larger super calculator.,
401,Iodine wanted a laptop computer that could handle the modest information processing jobs before transferring to a larger super electronic computer.,
402,I want a laptop computer that could handle the smaller data point action book of job before transferring to a larger super computer.,
403,I want a laptop that could handle the small data processing jobs before transfer to a larger super electronic computer.,
404,I wished a notebook that could handle the smaller data reporting households before transferring to a greater super desktops.,
405,I wanted a notebook that could handle the smaller dat processing responsibilities before spreading to a greater super computing.,
406,I warranted a notebook that could administering the smaller data processing possessing jobs before removing to a larger super computer.,
407,I wanted a notebook that could handle the smaller data processing procecessing jobs before relinquishing to a greater super computing.,
408,it would have been just nice to have retained the ability to plug in to their left or top side for guidance.,
409,it often has been ergonomically confusing to have had the chance to reverse in either from reverse or right side for charging.,
410,should probably have looked ergonomically nice to have had made flexibility to remain in either the left or one side for everything.,
411,it would have been ergonomically accessible to whoever had no flexibility to go with either the left nor right side after charging.,
412,It would have been ergonomically nice to get had the flexibility to punch in either the Left hand beaver state Right wing side for point.,
413,It would have been ergonomically nice to have had the tractableness to plug in either the Left or Right english for charge.,
414,It would have be ergonomically nice to have get the flexibility to plug in either the Left oregon Rightfield english for charge.,
415,It would have been ergonomically nice to hold had the flexibility to stop up in either the Left or Right side of meat for charge.,
416,It would characterized delivered ergonomically nice to given behaved the flexibility to plug in either the Left or Right sidelines for gathering.,
417,It would given explored ergonomically lovely to achieved towards the flexibility to plug in either the Left or Right sidelines for charging.,
418,It would removed been ergonomically lovely to removed involved the flexibility to plug in either the Left or Right sidelines for costs.,
419,It would given borne ergonomically lovely to approved achieved the flexibility to plug in either the Left or Right sidelines for charging.,
420,then you has two ac adapters to end user will be it!!,
421,if aorus sets two ac wires to end user will output so!!,
422,because they offers two ac adapters their end control will be fantastic!!,
423,if brand offers two ac models to end user then mean fantastic!!,
424,If AORUS offers two AC transcriber to stop user will live fantastic!!,
425,If AORUS offers deuce AC adapters to terminate user will be fantastic!!,
426,If AORUS offers deuce AC adapters to finish user will make up fantastical!!,
427,If AORUS offers two AC arranger to cease user bequeath be fantastic!!,
428,If AORUS fostering two AC adapters to includes consumers will supported fantastic!!,
429,If AORUS fostering two AC controllers to end user will supported terrific!!,
430,If AORUS reports two AC controllers to concluded consumers will be fantastic!!,
431,If AORUS encourage two AC adapters to finalized consumers will be terrific!!,
432,i wish us not more ports.,
433,i found there were foreign ports.,
434,i wish there were no lies.,
435,i remembered there were free ports.,
436,I wish there were more than port.,
437,I wish thither were more port.,
438,Atomic number 53 wish there live more ports.,
439,I bid thither were more ports.,
440,I wish there demonstrated more outports.,
441,I wish there very more harbours.,
442,I likes there were more airports.,
443,I wants there implemented more ports.,
444,I need a quick and responsive computer.,261.0
445,I am changing my old computer and I want a new one that is faster and more economical.,713.0
446,One of my flight attendent mentioned she wanted a light computer.,179.0
447,My family is going to have a new laptop and we are looking for a fast one with great graphics.,102.0
448,I need a perfect laptop for my office work in which it should be small and handy.,184.0
449,I do video editing so a good video card and a fast processor are expected.,467.0
450,"We need a perfect mobile business laptop and it should be quick, light and thin.",890.0
451,I am finding myself a nice computer which is fast and nicely designed.,71.0
452,My previous computer does no good to me so I need a new one that is lightweight with fast startup time and nice keyboard design.,1012.0
453,My old computer is not working and I am finding something that is fast and lightweight.,920.0
454,I like playing games so games should be able to run fast on the new computer.,346.0
455,I need a low priced mechine that is easy to setyp and sound greatly.,746.0
456,I need everything to be fast including the startup and operating.,915.0
457,A good sound output is necessary.,29.0
458,I need a new computer for myself that is solidly built and has lots of features.,39.0
459,I need the computer to have a clean resolution and audio.,504.0
460,I need a computer to handle my school work so it should run fast.,157.0
461,I need a light and fast computer.,891.0
462,"I need a computer which include a CD drive and run fast with Wifi, and of course the price should be reasonable.",394.0
463,I am finding a computer with great price.,52.0
464,I am finding myself a new computer that is fast and solidly built.,636.0
465,I have got a number of needs on my new computer so I am hoping for a cheap computer that fits all my needs.,359.0
466,I need to change my old business laptop and I am finding a model with a smooth keyboard and a nice look.,709.0
467,I want to have a light and sturdy computer.,402.0
468,My old computer is too slow and I need a new one.,421.0
469,I want to have a new computer that handles games well and boots up quickly.,448.0
470,I want to have a new gaming laptop and I want a nice display to come with it.,284.0
471,My brother needs a fast computer as his Christmas present.,227.0
472,I enjoy gaming and hope the new computer works great on that.,353.0
473,"I need a computer come up with the 2018 standard in sound output, keyboard and trackpad.",9.0
474,"I want to have a new computer for myself and I need to to be sleek, light and easy to use.",761.0
475,Speed is the aspect I look into when purchasing a new computer.,30.0
476,I am planning an upgrade for my wife and she needs it to be lightweight and fast.,887.0
477,I want a light laptop which can startup fast.,878.0
478,"I want to have a new computer that is lightweight, solid and has good specs.",592.0
479,I don't have much requirements for a new computer but I need it to run fast and setup easily.,334.0
480,A nice packaging and good looking computer would be nice for me.,880.0
481,I am looking for a computer that play games well with a reasonable price.,7.0
482,I hope the price fit with its performance.,517.0
483,I have been doing a lot of research on computers and I have been longing for a computer that is light and fast.,197.0
484,"For my meetings, I need a light computer with a long battery life.",888.0
485,I don't want the computer to be heavy or look dull.,392.0
486,I need to buy my wife a new computer and she wants it to be run fast and cool.,983.0
487,I am a performance ethusiatist and so an awesome processor is a must.,886.0
488,I want a faster computer than my old ones.,707.0
489,My old computer is too slow so I need a faster and lighter one.,599.0
490,The computer I want should have a high performance-cost ratio and a comfortable IPS panel.,510.0
491,I like playing games so I hope the new computer can play games at high settings effortlessly.,122.0
492,I have a lot of things to be done so I need a quick processor on my computer.,378.0
493,I am finding a solid computer with a lighted charger.,38.0
494,I need to use my computer whenever I want so it's better to startup fast.,943.0
495,"My old laptop is not working and I am looking for a new one that is fast, portable and light.",587.0
496,I need a fast computer with a low budget.,162.0
497,I don't want the new computer to constantly lag as my previous computer.,67.0
498,"My old computer doesn't work anymore so I need a new computer with cool graphics, CPU, RAM and ports.",124.0
499,I have been working in the computer industry and I am finding myself a computer with nice build quality and nice finish.,551.0
500,I can get a cheap computer and upgrade it later on.,4.0
501,I need a replacement computer that would run mush faster.,947.0
502,I am findinging myself a better computer with competitive specs and budget price.,762.0
503,I am taking the laptop to school and I want it to do fast in typing responsiveness and log in time.,1017.0
504,My old computer doesn't work for me anymore and I am finding a new one with terrifc specs in a great price.,854.0
505,I need some recommendations for a computer that comes with a high performance-cost ratio.,427.0
506,I need a gift that is fast and economical.,685.0
507,I hope it would be easy to setup right out of the box.,639.0
508,I have got a list of requirements for my desire computer.,506.0
509,Price is what I look into when purchasing a new computer.,356.0
510,I need a computer that stays within my budget.,399.0
511,I need a fast computer.,704.0
512,I do play some kinds of games and I need a new computer that work the games perfectly.,352.0
513,I need a computer with a high performance-cost ratio.,946.0
514,I need to take my computer to school so it's better to be lightweight.,817.0
515,The screen and touch pad should be great for my computer.,260.0
516,"I would just use the computer for some light use so all I need is fast, cheap and good graphics.",333.0
517,I need a computer that is good for multitasking.,153.0
518,A fast computer with a great screen resolution is what I need.,396.0
519,I need a big screen for my computer to make it easy to work.,501.0
520,I need a computer that comes with reasonable price and runs games well.,373.0
521,"As a student of Systems Engineering, I need a fast and portable computer to get my programme done.",590.0
522,I am finding a new computer for myself that has responsive keys and a beautiful screen.,312.0
523,I want to gift myself a light and portable computer.,598.0
524,I sometimes have long meetings so a computer with long battery life is a must.,42.0
525,I am looking for a new computer that comes with a high performance-cost ratio.,853.0
526,"The computer I need is the one with high performance-cost ratio, while having good cooling and consistent performance.",522.0
527,I am using the laptop for internet surfing as I need it to be lightweight and easy to setup.,912.0
528,I need a fast computer.,955.0
529,I work on webpage design so I hope the computer can work my graphic design programmes well.,699.0
530,I am looking for the best computer with the best price.,765.0
531,I am lacking money but I need a new computer that comes with a perfect price.,684.0
532,I am finding a computer for myself that show vivid colours and brightness.,667.0
533,I need a worthy computer with nice configuration.,937.0
534,I want some good-looking computer with good price.,986.0
535,My old computer has run solidly for eight years and I need a new one with a great price.,661.0
536,I need a new computer that run games greatly.,445.0
537,"I am finding a replacement computer and it should be fast, light and easy to use.",272.0
538,My old computer needs replacement with a lighter and faster model.,992.0
539,I want a fast and responsive computer.,519.0
540,My wife would like to have a computer with a high performance-cost ratio.,377.0
541,I want a computer that stay in my budget.,498.0
542,I need an upgrade from my old computer that I want a better processor and a decent GPU.,614.0
543,My current computer is not keeping up with my expectation so I need a new computer with a high performance-cost ratio.,993.0
544,I need a computer for everyday use that comes with a high performance-cost ratio.,923.0
545,I need a stylish computer for my work.,763.0
546,I need a computer with excellent expandability.,97.0
547,I have done some research on my new computer and I want a really fast one.,128.0
548,I need a fast computer to do video editing.,622.0
549,I have some criteria for my dream computer.,544.0
550,I don't plan to use the computer for studying so I just need the computer to play games well.,379.0
551,I work in IT for a living and I am buying myself a economical computer that does not have a reflective screen.,203.0
552,I am searching a good computer for school work and I think a computer with great graphic card and plenty of storage would be perfect.,343.0
553,I need a replacement for my old laptop and I want a new one with good screen and nice price.,818.0
554,I am finding a travel laptop for my trip and it must be light and has an amazing battery life with a tiny charger.,922.0
555,I want a high performance-cost ratio computer with a good fingerprint scanner and good keyboard backlighting.,518.0
556,I want a good-looking computer with an awesome keyboard.,876.0
557,A nice cooling stand would be good for my computer.,488.0
558,I need a few criteria for my new computer.,237.0
559,I need a computer with great build quality.,549.0
560,Our family computer needs a replacement and the new one should come with a right price.,400.0
561,My work require me to have a new computer so I am out here finding a thin computer with nice display and sturdy keyboard.,570.0
562,I need a computer with a reasonable price.,232.0
563,I am finding a new computer for my personal use that is slim and has a nice keyboard.,442.0
564,My old computer needs a replacement and the new one should be easy to set up while running cool.,98.0
565,I am looking for a replacement of my old computer which I require it to have a high performance-cost ratio.,990.0
566,I am going to buy a new computer and I want it to startup fast with a reasonable price.,1059.0
567,I need the computer to have high performance-cost ratio and low power consumption and heat.,511.0
568,I want a new computer that comes with a high performance-cost ratio.,686.0
569,I want a computer that is thinner than my previous computer.,217.0
570,I do some light gaming and I am finding an economical computer.,360.0
571,A good touchscreen should be included to the computer.,558.0
572,I wish the computer would perform greatly in images.,831.0
573,I need a new computer that is fast and economical.,1046.0
574,I have limited budget so the computer should come with a good price.,225.0
575,"I normally connect my laptop to my tv for gaming and I hope the new laptop do great in that, without being overheated.",18.0
576,I enjoy playing games and I would like the games to display well with good speaker and good graphic performance.,168.0
577,I need a present for my husband and I hope it can with a reasonable price.,292.0
578,I want to have a new computer that is easy to setup and produce good sound.,680.0
579,I need the look of the computer to be sleek.,397.0
580,What I need for school is a fast computer.,939.0
581,I need a sturdy computer with a beautiful screen and above-average sound quality.,540.0
582,I go on a lot of business travell so what I need is a computer that is light and doesn't take up much space.,328.0
583,I am finding a new computer that would startup quickly.,872.0
584,All I need is a computer that play games well.,1047.0
585,I want to change my old computer and I need a new one with a reasonable price.,702.0
586,What I expect is a good computer with a high performance-cost ratio.,93.0
587,I play games so I need a laptop to perform well in those.,213.0
588,I do a lot of professional tasks so I need a computer that run tons of programmes well with a fair price.,337.0
589,I have a number of files that need good memory to store them.,425.0
590,"I am starting my graduate school and I need a laptop that is thin, light and has a great screen display.",904.0
591,I need a new computer that is fast and own great backlit keyboard along with a beautiful display.,618.0
592,"My old computer has stopped working so I need a new computer with good internal specs, also, it should be fast and have amazing battery life.",115.0
593,I don't play many games but I still hope the computer would play games well.,158.0
594,I write programmes so I need a computer that is perfect for programming.,1063.0
595,I do virtualisation on my computer so I need a responsive laptop.,112.0
596,I am into coding and I need a new computer with plenty of RAM and amazing build quality.,36.0
597,I am looking for myself a work station but can run lots of games with a good price.,105.0
598,I hope the new computer meet up my expectations with the money I paid.,362.0
599,I like sleek looking computer.,365.0
600,I am a software developer and I need a fast computer to run my programmes.,441.0
601,I would need large storage for my files.,830.0
602,I am looking for the heapest option for my next computer which it should be fast and light.,565.0
603,I like taking my laptop around so I like it to be light and good looking.,351.0
604,I need a computer that can run my games fine and do editing.,490.0
605,I want a fast computer with a nice fingerprint scanner to accelerate.,249.0
606,I am in need of a new computer that is responsive and snappy.,958.0
607,I got many good years on my old computer and now I am changing to a faster model with a good touch screen and a good screen size.,634.0
608,I need an excellent choice for home working and it should be elegant and fast.,997.0
609,I am finding for a gaming laptop that startup fast and last long with a reasonable price.,406.0
610,The display must be incredible on my new computer.,965.0
611,I hope the computer will fit with my budget.,164.0
612,I am using the new laptop to take appointment with my clients and I need it to startup fast and have good processor and SSD.,991.0
613,My old computer needs replacement and I need one that is sleek and thin.,1058.0
614,I am in need of a new computer that is fast and slim.,932.0
615,My old computer is too slow so I need a new one.,83.0
616,I have some expectations on my new computer that it should have a good processor with enough RAM.,782.0
617,I am buying a new gaming laptop for my husband and I want a red backlit keyboard so it would be warm and comfortable to his eyes.,295.0
618,I cannot carry a heavy laptop around.,652.0
619,I do a lot of gaming and I am in need of a new computer that perform well in that aspect.,70.0
620,I am an average user and I need a computer that comes with good speed.,643.0
621,I major in Computer Science and I am finding myself a quick computer.,610.0
622,I am considering to change my old computer and the new one should be sleek.,744.0
623,I am finding myself a perfect gaming laptop.,64.0
624,I need a fast computer.,978.0
625,I need a Christmas present for my girlfriend and she wants a laptop that boot up fast and can be set up easily.,737.0
626,My old computer was on fritz so I need a new computer that is quick and easy to setup.,902.0
627,I use the computer for my personal use and I hope it won't heat up if overused.,127.0
628,I am learning a lot about processors recently and I am finding myself a fast computer with a high performance-cost ratio.,949.0
629,"I am buying a new laptop but I also want to do gaming on it, so it should run all games well.",1.0
630,I want to replace my old computer that I want one which runs fast and silently.,734.0
631,I need a computer with solid build quality and a reasonable price.,539.0
632,I need a computer to replace my old computer that should be fast and quiet.,601.0
633,I don't enjoy waiting so I need a computer that startup and shutdown fast.,308.0
634,I need a fast computer.,585.0
635,I will do research on the specs and I need a computer that bootup fast and silently.,899.0
636,"As an artist as well as a gamer, I need the laptop to be nice looking, thin and light.",410.0
637,I enjoy playing games on my laptop so I need a new one that have good specs with a reasonable price.,171.0
638,I am looking for a working laptop for myself and it should look good with a good feel of keyboard.,417.0
639,Speed is important to me when purchasing a new computer.,858.0
640,I am changing my old computer that I want a faster Wifi connection and bootup time.,998.0
641,"I want to upgrade my old computer that I want a faster, lighter and more attractive model.",603.0
642,I am finding a new computer for myself that is fast and has high internet connection.,460.0
643,I am going to find a new computer for long-term use.,980.0
644,I need a computer that coordinate well with my iPhone.,637.0
645,I try to present myself with a computer that has a good price.,423.0
646,I have always been hoping to have a fast computer with a backlit keyboard.,727.0
647,I need a fast computer to do basic home stuff.,315.0
648,I like beautiful things so my computer should have awesome looks.,376.0
649,I need the computer to perform great in gaming.,524.0
650,I am a middle-aged man and I have lower requirements on electrical device.,981.0
651,I am a student and I am finding a tablet for school that has a sleek design and a crisp screen.,438.0
652,The computer I want should look cool and own a nice graphic card.,841.0
653,A nice looking computer would be suitable for me.,150.0
654,I am changing my old laptop and I want a fast one that is well designed and great for gaming.,37.0
655,My must-have feature is a backlit keyboard.,556.0
656,Screen is the most important element to me so I want it to be sharp.,921.0
657,I am looking for a new computer that is lightweight and good looking.,908.0
658,I need a real fast computer.,724.0
659,I will need a laptop for software development and it should have good build quality with a decent battery life.,409.0
660,"Everyday I need to use my laptop so I need a big screen and a great keyboard to make it comfortable, of course, it should be fast also.",143.0
661,I often stick on to one brand and this time I am finding a laptop that is light and has a good keypad.,785.0
662,A reasonable price is what I consider when buying a new computer.,526.0
663,I am in need of a new computer that comes with high HDD capacity and low price.,970.0
664,I want to replace my old computer to a better looking computer.,583.0
665,A computer with marvelous screen and good price is what I need right now.,931.0
666,Our business need a computer that comes with a high performance-cost ratio.,208.0
667,I am taking the recommendations from my friend to find a new computer from Amazon.,440.0
668,I need a good laptop with reasonable price.,131.0
669,I would do as much research as I could to find the best use of my money for a powerful computer.,380.0
670,I am considering to change my old computer and what I need is a computer with a high performance-cost ratio and long battery life.,174.0
671,I want my future computer to have a high performance-cost ratio.,533.0
672,I don't have much money so I need a new computer with a good price.,703.0
673,I need a fast computer.,270.0
674,I want something sleek to play my games well.,407.0
675,I think the design of a computer do pay attribute.,797.0
676,I don't really have much money but I wish to have a computer that can run games on ultra graphic settings.,123.0
677,I look into graphics so I need a computer that can handle heavy graphics.,138.0
678,I won't pay too much money for a good computer.,51.0
679,"I need a different computer from my current computer, which is slow and heavy.",944.0
680,I enjoy gaming and I am finding myself a computer that handle that with ease.,624.0
681,The computer I want should handle all my needs with a good price.,275.0
682,I need a laptop with good build.,503.0
683,I am going to buy a new computer and I want it to have decent graphics and storage.,342.0
684,I want a quick computer with reasonable price.,256.0
685,I travel a lot so I would like to have a sturdy and handy laptop.,182.0
686,My old computer is sick and so I need new one that stays cool and quiet.,617.0
687,I have a number of games that I would like to try on my new laptop so it should have a large storage that is great for gaming.,300.0
688,I need some recommendations on a cheap computer which is easy to use and able to run smoothly.,690.0
689,I want a nice matte finish on my new computer so no fingerprints would be attached to it.,861.0
690,I need a computer with a high performance-cost ratio and a large memory.,240.0
691,I want a computer with high performance-cost ratio.,230.0
692,I am finding the best computer for my money.,665.0
693,I pay attention to my gaming experience but I also want a low price for a good computer.,326.0
694,I am looking through the recommendations on Amazon and want to find myself a quick computer.,900.0
695,My old laptop is not working and I am finding a lightweight and fast one with high performance-cost ratio.,458.0
696,"I will be using the laptop for work so it should be sleek, lightweight and easy to setup.",681.0
697,I am buying something from the Black Friday Bargain and I want a new computer that comes with good picture and good sound quality.,662.0
698,My old computer doesn't last long for the battery life and I hope the new one would.,857.0
699,A fast computer with a high performance-cost ratio is what I need.,465.0
700,I know something about computer and all I want is a good-looking computer that play games well.,163.0
701,I need a computer with a reasonable price.,167.0
702,"For my gaming laptop, I want it to have a beautiful design.",145.0
703,I am a console gamer but now I am finding a gaming laptop that has amazing speed and awesome graphics.,206.0
704,The temperature of the computer should be low while I am using it.,500.0
705,I don't have an unlimited budget so I want a computer with a large screen and a fast processor.,188.0
706,My next semester is coming and I am finding a new computer to cope with the work.,324.0
707,I need a good keypad on my computer to get my job done.,657.0
708,I am buying the computer for my family so I need a nice screen to protect their eyes.,833.0
709,I use laptop to watch movies so a large screen and clear pictures are necessary.,738.0
710,I am switching my old computer to a quicker and lighter one.,1004.0
711,I need the processor to be fast and responsive on my next computer.,934.0
712,I would be grateful to pay as long as the computer lives up to my expectation.,959.0
713,"The computer I want should startup fast, cool and quietly.",956.0
714,Weight is important to me when purchasing a laptop.,1013.0
715,I don’t want my current computer anymore and I am looking for a new one coming with the perfect keyboard and screen.,575.0
716,I am finding myself a new computer that has a fast refresh rate and good video card.,79.0
717,I need a fast computer.,910.0
718,I am buying a laptop for my daughter and she wants it to be lightweight with a high performance-cost ratio.,687.0
719,"I want to get a computer that is slim, light, fast and great looking.",1021.0
720,A computer which can quickly download stuff is which I need.,953.0
721,I need a light computer which can turn on fast and run cool.,229.0
722,I do a lot of research before buying a new laptop and I want it to be fast and easy to setup and use.,723.0
723,I treasure every hour of work so I need a fast computer.,1033.0
724,I want to change my old computer and I want a fast computer with reasonable price.,874.0
725,I want to buy a new laptop so I can share it with my wife.,800.0
726,I have to do homework at night so it's better to include a backlit keyboard.,740.0
727,I am finding myself a new computer without a ton of bloatware.,100.0
728,My dream gaming laptop is the one that runs games well.,290.0
729,I am in need of a new computer that is sleek and compact.,755.0
730,I am looking for a computer that fulfil my data science demand and it should come with an awesome keyboard.,444.0
731,I need a computer that is easy to get started.,1039.0
732,I need to change my old laptop and I need one that run quietly and cool.,53.0
733,We are finding a new computer with a reasonable price.,739.0
734,I need a computer with high performance-cost ratio.,391.0
735,My wife need a computer to do her college work and she needs it to bootup fast and play games well.,86.0
736,I will need a functional computer.,1068.0
737,I am a student and I need a recommendation for a lightweight and thin computer.,666.0
738,I need a light computer.,251.0
739,"I tend to choose brand with good reputation and I want a sleek, new computer that comes with the perfect size and a ergonomic keyboard.",787.0
740,The computer I need should have a high performance-cost ratio and be solidly constructed.,499.0
741,All I need on a computer is high bootup speed and great graphics.,475.0
742,I am getting a new tablet for my online college so I need a big screen and a nice pen.,670.0
743,I want to have a new computer that is easy to setup.,271.0
744,I am in college and I need a sturdy and solid computer that comes with a high response rate.,44.0
745,I want a computer with good performance and low cost.,788.0
746,I enjoy playing games on my laptop so I hope the laptop do magnificent job of graphics and gameplay.,113.0
747,I am taking the laptop to school and I want it to have a good selection of ports for my use.,24.0
748,I am finding a replacement for a higher performance-cost ratio.,211.0
749,I need a good piece of computer with a low cost.,620.0
750,I am finding the best computer with my limited budget.,832.0
751,I am finding for a new gaming laptop.,169.0
752,"The current computer is not working and I want a new one that is slim, light and well crafted.",591.0
753,I do a lot of typing so the keys should be wonderful.,1052.0
754,My old computer is not working properly so I want a computer with a higher performance-cost ratio.,596.0
755,I want the computer to be quiet and stay cool while playing games with a high perfomance-cost ratio.,520.0
756,I am finding a sturdy computer with a nice keyboard.,32.0
757,I do a lot of typing at night so it would be good if the keys are highly visible at night.,611.0
758,I do literally everything on my laptop so I hope it to be easily upgradable and have a reasonable price.,109.0
759,I would use the computer for light gaming so I hope the computer would play games well.,136.0
760,I use CAD programmes so I am finding a computer that run those programmes well.,330.0
761,I am going back to college later and so I need a laptop with a huge screen and a number pad on the keyboard.,222.0
762,I am in need of a new computer and it should work fantasticly for games.,28.0
763,I am finding a fantastic bargain for my gaming computer.,287.0
764,I need the laptop to look much as a PC so it should have a full keyboard and a good touchscreen.,722.0
765,I play games on laptop and I am finding a professional computer for that.,55.0
766,I have a kid in school and I am buying him a new laptop with a chassis texture.,1054.0
767,I am finding myself a light and fast computer.,996.0
768,I need a great screen to better do my spreadsheets.,1019.0
769,I don’t have much money so I need a computer that comes with a great price.,822.0
770,I need a powerful laptop to bring to class so it should be small but with a big screen for multitasking.,48.0
771,I need the specs to be perfect on my computer that means for the screen and the touchpad.,1022.0
772,I am finding my first laptop in college and I need it to have excellent visual fidelity and a full keyboard.,1057.0
773,My old computer lasts for five years and now I am finding a new one with large storage and high performance-cost ratio.,642.0
774,I need a computer with a good trackpad and battery life which can max out any games.,545.0
775,"I need a computer which has an excellent keyboard and a great screen, but also not too attractive to eyeballs.",477.0
776,I want a well-built computer.,547.0
777,I play lots of games and I'm finding a new computer that run fast of all my games.,843.0
778,"Once I find a computer that fits my needs, I am willing to spend the appropiate amount of money.",63.0
779,"I don't have much requirement for my new computer, it just need to be cheap.",413.0
780,"As a person who is into light gaming and video editing, I need a computer that goes perfect for both the aspect.",384.0
781,I am taking a laptop that is travel-friendly and lightweight.,1006.0
782,My family and I need a fast computer with a high performance-cost ratio.,322.0
783,My computer doesn't play my games well so I need a new one that plays games with no stutters.,451.0
784,A thin and light computer is preferable.,879.0
785,I need a fast laptop with good configuration.,234.0
786,I am buying a Christmas present for my daughter and she wants it to be fast to meet her needs.,656.0
787,I haven't been using a laptop for a while and it would be good to be easy to set up.,855.0
788,I need a fast and lightweight computer.,557.0
789,I have got a lot of photos and I need a roomy device for that.,462.0
790,I surf the internet all day and I am finding a new laptop that do fast in that.,424.0
791,I need to take a laptop to my internship and I hope it comes with reasonable price and nice look.,995.0
792,Speed is what I look into when purchasing a new computer.,303.0
793,I am replacing my old computer and I want a lighter and more sturdy one.,1000.0
794,I am a software developer and I am finding a new computer that can run IDSs with no glitch in a low cost.,689.0
795,I need a fast computer.,219.0
796,I depend on reliable resources to make up my decision on a new computer.,984.0
797,I don't have a huge budget for my new computer so it should come with a good price.,296.0
798,I have never had a laptop before and so I am finding one that can run games with an amazing battery life.,21.0
799,I need a good keyboard for my typing work.,760.0
800,An adequate screen should be installed on the computer.,869.0
801,A fast computer is what I need.,420.0
802,I am a student and I want a computer that has a powerful quad core and sturdy construction.,325.0
803,I need a computer that powers up smoothly with a reasonable price.,821.0
804,My work requires for a better computer that comes with a sturdy keyboard with useful backlighting.,199.0
805,I will use the computer for gaming and I hope there would be a sharp display and a high refresh rate.,450.0
806,I don't have much money so good price is important for a new computer.,137.0
807,A good design and a cool keyboard should be applied to the computer.,536.0
808,I do basic business application on my laptop so I need sufficient amount of RAM and large drive of my data.,696.0
809,I am waiting for my husband to buy me a lightweight computer that has the perfect size.,717.0
810,"I am finding a new computer that is light, handy and easy to use.",646.0
811,I have some light use of the computer and I hope the price won’t be too expensive.,811.0
812,I am going to find a fast computer for myself.,628.0
813,I need a fast computer.,212.0
814,I do video editing so the computer should work great with that.,1048.0
815,I need a nice backlit keyboard to do work at night.,1032.0
816,"I do pay attention to user response on computer and I am finding one that is quick, light and slim.",1027.0
817,I want a computer that have great specs and amazing cooling.,505.0
818,My old computer is not working and I need a new one that bootup fast.,916.0
819,I need the computer to boot up fast.,231.0
820,I need a laptop that fit in my budget with cool looking and ability to play games without issues.,405.0
821,I know what I need for my new computer: good size and bright screen.,729.0
822,I want to have a new computer for myself.,568.0
823,I want the new computer to come with a cool touch screen.,317.0
824,I am replacing my old laptop for a better-sized laptop.,183.0
825,I don't want to have much bloatware on my computer.,968.0
826,I was looking to upgrade my old computer but eventually I decided I would just find a new computer that is more upgradable.,966.0
827,I use my laptop for school so I need it to be light and sleek.,852.0
828,I am not finding a fancy computer but a powerful computer with a low cost.,693.0
829,I am a student and I want to find a fast and light computer for my everday use.,609.0
830,I focus on the design of a laptop very much so a beautiful finish and a beautiful screen is a must.,626.0
831,We need a new laptop for CCTV management and it should bootup fast and have a good battery life.,909.0
832,The computer I need is the one which can be opened up and upgraded easily and have a good build quality.,485.0
833,I am purchasing a new computer mainly for gaming so it should play games smoothly and have a gorgeous screen.,278.0
834,I am purchasing a new computer to replace my old one and the new one should come with mosterous storage capacity and high performance-cost ratio.,630.0
835,I tend to use my next computer for a long time so the graphics ought to be beautiful.,20.0
836,I am trying to find a new gaming laptop that plays my games fast and quietly.,170.0
837,I need a new computer that has a high performance-cost ratio.,401.0
838,I need a new computer for myself that is lightweight and fast.,901.0
839,I would need enough ports for charging and for further installment.,1029.0
840,I am replacing my old computer with a lighter one.,566.0
841,I want to find a laptop that can play games with my friends so I need it to have great performance for gaming and be cheap.,176.0
842,It would be enjoyable to have a computer that is speedy with an amazing sound system.,327.0
843,I want to get to use the computer as soon as possible so it's better to have some pre-loaded software.,706.0
844,I need a nice computer for my work and it should come with awesome specs with a great price.,198.0
845,I need some good specs on the computer for my business.,470.0
846,I only have simple needs on my laptop so it just has to be lightweight and economical.,850.0
847,I need the computer to boot up fast to meet my needs.,951.0
848,I have limited budget so I need a new computer with great price.,864.0
849,Speed is what I concern when purchasing a new computer.,694.0
850,I need the screen to be nice and big while maintaining a light weight.,266.0
851,I am in a nursery school and I use my laptop several hours a day.,866.0
852,I do photo editing and I am finding a computer that boot fast and run quietly.,615.0
853,A good touch screen should be installed on my new computer.,732.0
854,The computer I want should handle my games with ease and run super fast.,492.0
855,I don't require much for my new computer but speed is important.,130.0
856,I am finding myself a new computer that is light and come with nice size.,865.0
857,My old laptop has a broken screen and I want a more good looking one.,1030.0
858,I can't use my old computer anymore and I need a new one that is fast and reasonably priced.,338.0
859,I need a computer that immdiately wakes when I use it.,1064.0
860,My desire computer should own a great keyboard and a powerful cooling system.,489.0
861,I need a new computer for myself and I want it to come with superb build quality.,572.0
862,"My old computer needs replacement and I need the new one to be lightweight, quick and economical.",606.0
863,The only requirement I have for my computer is it has to be easy to use.,193.0
864,I do multitasking so I need a good system to come with the laptop.,140.0
865,My household has different needs for a computer and so it should be fast and have great graphics.,416.0
866,I usually stick to one brand when it comes to computer and now I want a computer that runs cool  and be easily upgradable.,660.0
867,I want a high performance-cost ratio computer which can do fast start-up.,476.0
